OriginalPrinterName,PrinterName,IPAddress,PrinterDriverName
Alpha resource-color,AS SHARP,11.0.0.69,SHARP MX-3071 PCL6
NPI70BFC2,HP Laser Jet,11.0.0.74,Microsoft IPP Class Driver
